PMID,Title,Journal,Date,Year,Still_Live,AI_Retracted
41569346,ClusterGVis: An Advanced Visualization and Clustering Tool for Gene Expression Analysis.,Genomics Proteomics Bioinformatics. 2026 Jan 22:qzag005. doi: 10.1093/gpbjnl/qzag005. Online ahead of print.,2026 Jan 22:qzag005,2026,1,
41567774,Configurational pathways to pediatric e-bike injury severity: an fsQCA study of global evidence.,Front Public Health. 2026 Jan 6;13:1738100. doi: 10.3389/fpubh.2025.1738100. eCollection 2025.,2026 Jan 6;13:1738100,2026,1,
41567450,Motivation and engagement as pathways: how AI-augmented online assessment shapes English-speaking competency in vocational EFL classrooms.,Front Psychol. 2026 Jan 6;16:1730953. doi: 10.3389/fpsyg.2025.1730953. eCollection 2025.,2026 Jan 6;16:1730953,2026,1,
41566277,[Study of establishment of reproductive decision-making indicator system for families affected by HIV].,Zhonghua Liu Xing Bing Xue Za Zhi. 2026 Jan 10;47(1):141-145. doi: 10.3760/cma.j.cn112338-20250724-00522.,2026 Jan 10;47(1):141-145,2026,1,
41566241,Integrative transcriptomic profiling reveals subtype-specific therapeutic vulnerabilities and resistance mechanisms in prostate cancer.,BMC Cancer. 2026 Jan 21;26(1):97. doi: 10.1186/s12885-025-15357-5.,2026 Jan 21;26(1):97,2026,1,
41565612,Factors Influencing Bereavement Care Competence in Midwifery Students: Regression and QCA Analysis.,Nurs Open. 2026 Jan;13(1):e70436. doi: 10.1002/nop2.70436.,2026 Jan;13(1):e70436,2026,1,
41564110,How can we reduce the rate of Violent-Sexual Crimes? An attempt at street design.,PLoS One. 2026 Jan 21;21(1):e0341372. doi: 10.1371/journal.pone.0341372. eCollection 2026.,2026 Jan 21;21(1):e0341372,2026,1,
41564057,Dual Event-Triggered Polynomial Dynamic Output Control for PositiveFuzzySystemsvia an IT2 Membership Function Relaxation Method.,IEEE Trans Cybern. 2026 Jan 21;PP. doi: 10.1109/TCYB.2026.3651581. Online ahead of print.,2026 Jan 21;PP,2026,1,
41564056,Smooth Control of Asynchronously SwitchedFuzzySystemsWith Partly Stochastic Sojourn Time.,IEEE Trans Cybern. 2026 Jan 21;PP. doi: 10.1109/TCYB.2026.3651915. Online ahead of print.,2026 Jan 21;PP,2026,1,
41564054,Analysis and Optimization of Secure Sliding Mode Observer-Based Control in Nonlinear Descriptor Systems Under Attacks.,IEEE Trans Cybern. 2026 Jan 21;PP. doi: 10.1109/TCYB.2026.3651677. Online ahead of print.,2026 Jan 21;PP,2026,1,
41564006,Optimizing regional innovation ecosystems through actor-environment coevolution: A dynamic configurational analysis from a CAS perspective.,PLoS One. 2026 Jan 21;21(1):e0341011. doi: 10.1371/journal.pone.0341011. eCollection 2026.,2026 Jan 21;21(1):e0341011,2026,1,
41561574,How social-emotional competence shapes classroom participation? A configurational analysis of teacher education students using fsQCA.,Front Psychol. 2026 Jan 5;16:1695629. doi: 10.3389/fpsyg.2025.1695629. eCollection 2025.,2026 Jan 5;16:1695629,2026,1,
41560928,Path tracking control method for tracked agricultural vehicles based on slip-aware look-ahead point offset.,Front Plant Sci. 2026 Jan 5;16:1754679. doi: 10.3389/fpls.2025.1754679. eCollection 2025.,2026 Jan 5;16:1754679,2026,1,
41559480,Flemboda artificial intelligence: hybridfuzzy-convolutional neural network for efficient chromosome abnormality classification.,Mol Genet Genomics. 2026 Jan 21;301(1):22. doi: 10.1007/s00438-025-02345-4.,2026 Jan 21;301(1):22,2026,1,
41559286,Innovative impact of artificial intelligence and management in rural revitalization underfuzzybased decision-making approach.,Sci Rep. 2026 Jan 20. doi: 10.1038/s41598-026-35098-0. Online ahead of print.,2026 Jan 20,2026,1,
41559236,Fuzzyweighted natural nearest neighbor based density peak clustering.,Sci Rep. 2026 Jan 20. doi: 10.1038/s41598-025-34175-0. Online ahead of print.,2026 Jan 20,2026,1,
41559163,Fault-induced detection method for power supply lines in the cutting unit of coal shearer based on PIO-VMD-EDO.,Sci Rep. 2026 Jan 20;16(1):2488. doi: 10.1038/s41598-025-32292-4.,2026 Jan 20;16(1):2488,2026,1,
41558884,Mask-based privacy-preserving adaptive bipartitefuzzyconsensus control for stochastic nonlinear multi-agent systems under markovian switching topologies.,ISA Trans. 2026 Jan 8:S0019-0578(26)00004-2. doi: 10.1016/j.isatra.2026.01.004. Online ahead of print.,2026 Jan 8:S0019-0578(26)00004-2,2026,1,
41558249,Fuzzyclassification of sepsis subtypes and implications for trajectory and treatment.,EBioMedicine. 2026 Jan 19;124:106125. doi: 10.1016/j.ebiom.2026.106125. Online ahead of print.,2026 Jan 19;124:106125,2026,1,
41558052,Integrated pulmonary index in pediatric sedation for endoscopy: a prospective cohort study.,Cir Cir. 2025;93(6):669-677. doi: 10.24875/CIRU.24000615.,2025;93(6):669-677,2025,1,
41557737,Federated TriNet-AQ: Explainable english proficiency classification in augmented and virtual reality learning.,PLoS One. 2026 Jan 20;21(1):e0329304. doi: 10.1371/journal.pone.0329304. eCollection 2026.,2026 Jan 20;21(1):e0329304,2026,1,
41554965,Enhancing MPPT performance of a grid-connected Doubly-Fed induction generator-based wind power plant using hybrid ANFIS-PI control strategy.,Sci Rep. 2026 Jan 19. doi: 10.1038/s41598-026-36021-3. Online ahead of print.,2026 Jan 19,2026,1,
41553905,Extended Dissipative Analysis for Uncertain Delayed Genetic Regulatory Networks via Interval Type-2 T-SFuzzyFramework.,IEEE Trans Cybern. 2026 Jan 19;PP. doi: 10.1109/TCYB.2026.3652172. Online ahead of print.,2026 Jan 19;PP,2026,1,
41553903,Decentralized Impulsive Control for Nonlinear Interconnected Systems Based on Dynamic Event-Triggered Mechanism.,IEEE Trans Cybern. 2026 Jan 19;PP. doi: 10.1109/TCYB.2026.3651462. Online ahead of print.,2026 Jan 19;PP,2026,1,
41553152,Electric field-induced destabilization and surface modulation of Aβ42 fibrils in molecular simulations: theoretical implications for direct current stimulation in Alzheimer's disease.,Amyloid. 2026 Jan 19:1-8. doi: 10.1080/13506129.2026.2616753. Online ahead of print.,2026 Jan 19:1-8,2026,1,
41551519,Analyzing human factors affecting severe maternal morbidity (SMM) usingfuzzyBayesian network (FBN).,Front Med (Lausanne). 2026 Jan 2;12:1566625. doi: 10.3389/fmed.2025.1566625. eCollection 2025.,2026 Jan 2;12:1566625,2026,1,
41550924,An integrative model of pro- and anti-inflammatory signaling pathways in macrophage differentiation: the role of NF-κB and CREB.,Front Immunol. 2026 Jan 2;16:1639005. doi: 10.3389/fimmu.2025.1639005. eCollection 2025.,2026 Jan 2;16:1639005,2026,1,
41550018,Medial temporal ageing-related tau astrogliopathy below 66 years is associated with neurodegeneration.,Brain. 2026 Jan 19:awag011. doi: 10.1093/brain/awag011. Online ahead of print.,2026 Jan 19:awag011,2026,1,
41549117,Fuzzylogicbased nonlinear blending hybrid control of a kestrel-inspired ornithopter operating in sinusoidal and dryden gusts.,Sci Rep. 2026 Jan 19;16(1):2209. doi: 10.1038/s41598-025-31360-z.,2026 Jan 19;16(1):2209,2026,1,
41548339,Method for evaluating the competency of geriatric nursing professionals.,Geriatr Nurs. 2026 Jan 17;68:103823. doi: 10.1016/j.gerinurse.2026.103823. Online ahead of print.,2026 Jan 17;68:103823,2026,1,
41547878,A multi-method analysis of employee-driven green service innovation in hotels based on the ability-motivation-opportunity framework.,Sci Rep. 2026 Jan 17. doi: 10.1038/s41598-025-34970-9. Online ahead of print.,2026 Jan 17,2026,1,
41545554,An evaluation system for regional cultural suitability of urban cross-river bridges: insights into the liberation bridge in Tianjin.,Sci Rep. 2026 Jan 16. doi: 10.1038/s41598-026-35225-x. Online ahead of print.,2026 Jan 16,2026,1,
41545453,Optimization study on transverse mining zoning during the capacity expansion stage of nearly horizontal open-pit coal mines.,Sci Rep. 2026 Jan 16. doi: 10.1038/s41598-026-35908-5. Online ahead of print.,2026 Jan 16,2026,1,
41545447,Fuzzylogic-based reactive power control for power factor enhancement in EV drives.,Sci Rep. 2026 Jan 16. doi: 10.1038/s41598-025-34125-w. Online ahead of print.,2026 Jan 16,2026,1,
41539938,Small and large-scale information collaborative unet for metastatic lymph node segmentation of multi-modal nasopharyngeal carcinoma MRI images.,Med Phys. 2026 Jan;53(1):e70284. doi: 10.1002/mp.70284.,2026 Jan;53(1):e70284,2026,1,
41538898,YOFOR : You only focus on object regions for tiny object detection in aerial images.,Neural Netw. 2026 Jan 10;198:108571. doi: 10.1016/j.neunet.2026.108571. Online ahead of print.,2026 Jan 10;198:108571,2026,1,
41536026,Heterogeneous Dynamics of theFuzzyCoat of Full-Length Phospho-Mimetic Tau Fibrils.,J Am Chem Soc. 2026 Jan 14;148(1):1623-1637. doi: 10.1021/jacs.5c18540.,2026 Jan 14;148(1):1623-1637,2026,1,
41535978,Cognitive and contextual configurations in entrepreneurial opportunity evaluation: insights from fsQCA.,BMC Psychol. 2026 Jan 14. doi: 10.1186/s40359-025-03940-1. Online ahead of print.,2026 Jan 14,2026,1,
41535696,A neural network framework for selecting real-time video enhancement algorithms on mobile devices.,Sci Rep. 2026 Jan 14. doi: 10.1038/s41598-026-36099-9. Online ahead of print.,2026 Jan 14,2026,1,
41535695,Fuzzyenergy management using a chaotic model to improve fuel consumption of fuel cell-battery hybrid fixed-wing UAVs operating under uncertainty control.,Sci Rep. 2026 Jan 14. doi: 10.1038/s41598-025-34306-7. Online ahead of print.,2026 Jan 14,2026,1,
41535357,Identifying and analysing the differences between flooding and waterlogging in urban areas.,Sci Rep. 2026 Jan 14. doi: 10.1038/s41598-026-35296-w. Online ahead of print.,2026 Jan 14,2026,1,
41534519,"Disobind: A sequence-based, partner-dependent contact map and interface residue predictor for intrinsically disordered regions.",Cell Syst. 2026 Jan 21;17(1):101486. doi: 10.1016/j.cels.2025.101486. Epub 2026 Jan 13.,2026 Jan 21;17(1):101486,2026,1,
41533681,The application of machine learning for infant cries classification and pathological cries detection: A systematic review.,Sci Prog. 2026 Jan-Mar;109(1):368504251410776. doi: 10.1177/00368504251410776. Epub 2026 Jan 14.,2026 Jan-Mar;109(1):368504251410776,2026,1,
41533589,Disordered DNA-binding motif forms a modulation site for inhibiting the cancer immunotherapy target TREX1.,Nucleic Acids Res. 2026 Jan 14;54(2):gkaf1511. doi: 10.1093/nar/gkaf1511.,2026 Jan 14;54(2):gkaf1511,2026,1,
41530512,Energy optimization of PV systems under partial shading conditions using various technique-based MPPT methods.,Sci Rep. 2026 Jan 13. doi: 10.1038/s41598-026-36117-w. Online ahead of print.,2026 Jan 13,2026,1,
41530457,Assessment of influencing factors of college and universities' teaching effects usingfuzzyand deep learning techniques.,Sci Rep. 2026 Jan 13. doi: 10.1038/s41598-026-35940-5. Online ahead of print.,2026 Jan 13,2026,1,
41530196,Factors influencing older adults' participation in community volunteering service in China: a logistic regression and fsQCA perspective.,Sci Rep. 2026 Jan 13;16(1):1763. doi: 10.1038/s41598-025-28669-0.,2026 Jan 13;16(1):1763,2026,1,
41530056,Unraveling the Electronic Structures of Platinum-Bromine Superhalogens: Photoelectron Spectroscopy of PtBrn-(n= 2-5).,J Phys Chem A. 2026 Jan 13. doi: 10.1021/acs.jpca.5c08299. Online ahead of print.,2026 Jan 13,2026,1,
41529447,A memristivefuzzyneural network with applications to classification task: A programmable circuit system.,Neural Netw. 2026 Jan 7;197:108547. doi: 10.1016/j.neunet.2026.108547. Online ahead of print.,2026 Jan 7;197:108547,2026,1,
41528896,Adaptive Hierarchical Event-Triggered H () Output Tracking of IT2FuzzyHeterogeneous Multiagent Systems Under Multiple-Channel DoS Attacks.,IEEE Trans Cybern. 2026 Jan 13;PP. doi: 10.1109/TCYB.2026.3650819. Online ahead of print.,2026 Jan 13;PP,2026,1,
41527527,ProtFPreDTI: Drug-Target Interaction Prediction Study and LIME Interpretability Analysis Based on the ProtBERT Deep Language Model with AdaptiveFuzzySampling Strategy.,Bioconjug Chem. 2026 Jan 13. doi: 10.1021/acs.bioconjchem.5c00399. Online ahead of print.,2026 Jan 13,2026,1,
41527227,WSSM: A Weakly Supervised Oral Mucosal Disease Segmentation Model Based on Multi-Task Collaboration.,Oral Dis. 2026 Jan 12. doi: 10.1111/odi.70204. Online ahead of print.,2026 Jan 12,2026,1,
41526673,Evaluation of traffic congestion mitigation techniques using an entropy-TOPSIS integrated method.,Sci Rep. 2026 Jan 12. doi: 10.1038/s41598-026-35814-w. Online ahead of print.,2026 Jan 12,2026,1,
41526618,Delineation of palaeochannels using DEM and spectral indices in the Gundar basin of Kadaladi region.,Sci Rep. 2026 Jan 12. doi: 10.1038/s41598-026-35549-8. Online ahead of print.,2026 Jan 12,2026,1,
41525398,A meta-analysis of false memory in healthy and pathological cognitive aging.,Psychol Aging. 2026 Jan 12. doi: 10.1037/pag0000966. Online ahead of print.,2026 Jan 12,2026,1,
41525356,Extending theFuzzy-Trace Theory informed model of guilty plea decision making: Accounting for factual guilt and innocence.,Law Hum Behav. 2026 Jan 12. doi: 10.1037/lhb0000654. Online ahead of print.,2026 Jan 12,2026,1,
41520245,"Synergistic Effect of Combined Wheat Peptides, Soft-Shelled Turtle Peptides and Pueraria Lobata Root Extract on Alleviating Alcoholic Liver Disease by Regulating Gut Microbiota and Intestinal Barrier.",J Food Sci. 2026 Jan;91(1):e70776. doi: 10.1111/1750-3841.70776.,2026 Jan;91(1):e70776,2026,1,
41520048,A computational intelligence approach for classifying dental caries in X-ray images using integratedfuzzyC-means clustering with feature reduction and a weighted matrix scheme.,Sci Rep. 2026 Jan 10. doi: 10.1038/s41598-026-35735-8. Online ahead of print.,2026 Jan 10,2026,1,
41520017,A drift-aware RS2FS pipeline with confidence gating for IDS.,Sci Rep. 2026 Jan 10. doi: 10.1038/s41598-025-34124-x. Online ahead of print.,2026 Jan 10,2026,1,
41519996,"On distance, similarity and entropy measures of multidimensionalfuzzysets.",Sci Rep. 2026 Jan 10. doi: 10.1038/s41598-025-33430-8. Online ahead of print.,2026 Jan 10,2026,1,
41518607,Subregional Radiomics Analysis on Multiparametric MRI for Evaluating Lymphovascular Invasion and Survival in Gastric Cancer: A Multicenter Study.,J Magn Reson Imaging. 2026 Jan 10. doi: 10.1002/jmri.70236. Online ahead of print.,2026 Jan 10,2026,1,
41518154,Global risk assessment of Lyme borreliosis transmission.,Pathog Glob Health. 2026 Jan 10:1-14. doi: 10.1080/20477724.2026.2614633. Online ahead of print.,2026 Jan 10:1-14,2026,1,
41516794,Intelligent Modeling of Erosion-Corrosion in Polymer Composites: IntegratingFuzzyLogicand Machine Learning.,Polymers (Basel). 2025 Dec 19;18(1):9. doi: 10.3390/polym18010009.,2025 Dec 19;18(1):9,2025,1,
41516685,HierarchicalFuzzyAdaptive Observer-Based Fault-Tolerant Consensus Tracking for High-Order Nonlinear Multi-Agent Systems Under Actuator and Sensor Faults.,Sensors (Basel). 2025 Dec 31;26(1):252. doi: 10.3390/s26010252.,2025 Dec 31;26(1):252,2025,1,
41516652,A Lightweight Authentication and Key Distribution Protocol for XR Glasses Using PUF and Cloud-Assisted ECC.,Sensors (Basel). 2025 Dec 29;26(1):217. doi: 10.3390/s26010217.,2025 Dec 29;26(1):217,2025,1,
41516637,QL-HIT2F: A Q-Learning-Aided AdaptiveFuzzyPath Planning Algorithm with Enhanced Obstacle Avoidance.,Sensors (Basel). 2025 Dec 27;26(1):200. doi: 10.3390/s26010200.,2025 Dec 27;26(1):200,2025,1,
41516570,SYMPHONY: Synergistic Hierarchical Metric-Fusion and Predictive Hybrid Optimization for Network Yield-A VANET Routing Protocol.,Sensors (Basel). 2025 Dec 25;26(1):135. doi: 10.3390/s26010135.,2025 Dec 25;26(1):135,2025,1,
41516483,Fuzzy-Adaptive ESO Control for Dual Active Bridge Converters.,Sensors (Basel). 2025 Dec 20;26(1):48. doi: 10.3390/s26010048.,2025 Dec 20;26(1):48,2025,1,
41515654,Anatomy-Guided Hybrid CNN-ViT Model with Neuro-Symbolic Reasoning for Early Diagnosis of Thoracic Diseases Multilabel.,Diagnostics (Basel). 2026 Jan 4;16(1):159. doi: 10.3390/diagnostics16010159.,2026 Jan 4;16(1):159,2026,1,
41513941,Development of a novel integrated RSM-FuzzyMCDA framework for high-speed machinability assessment of WAAM-Fabricated aluminium.,Sci Rep. 2026 Jan 9. doi: 10.1038/s41598-025-34453-x. Online ahead of print.,2026 Jan 9,2026,1,
41513842,Development offuzzy-based ranking alternatives by hybrid RSM-fuzzyAHP-fuzzyCoCoSo framework sustainable ultrasonic-assisted turning of magnesium alloys.,Sci Rep. 2026 Jan 9;16(1):2823. doi: 10.1038/s41598-025-32693-5.,2026 Jan 9;16(1):2823,2026,1,
41513475,Real-time HILS-validated model-free control for AUVs using time-delay adaptivefuzzynonsingular fast terminal sliding mode control.,ISA Trans. 2025 Dec 30:S0019-0578(25)00744-X. doi: 10.1016/j.isatra.2025.12.052. Online ahead of print.,2025 Dec 30:S0019-0578(25)00744-X,2025,1,
41511627,Forecasting of interval carbon price in China based on decomposition-reconstruction-ensemble framework.,Carbon Balance Manag. 2026 Jan 9. doi: 10.1186/s13021-025-00389-y. Online ahead of print.,2026 Jan 9,2026,1,
41507835,Transforming vacant rural school buildings into age-friendly facilities under China's aging and low-fertility context: a natural language processing-based evaluation framework.,BMC Geriatr. 2026 Jan 9. doi: 10.1186/s12877-025-06772-1. Online ahead of print.,2026 Jan 9,2026,1,
41507451,Fuzzyoptimization of municipal solid waste collection routing under uncertain emissions.,Sci Rep. 2026 Jan 8. doi: 10.1038/s41598-026-35209-x. Online ahead of print.,2026 Jan 8,2026,1,
41507287,Effects of acid mine drainage from collapsed tailings dam on Zambia's human riparian communities: afuzzycognitive model perspective.,Sci Rep. 2026 Jan 8. doi: 10.1038/s41598-025-34577-0. Online ahead of print.,2026 Jan 8,2026,1,
41507279,Hybrid reinforcement learning optimization of aging aware energy management and powertrain sizing in fuel cell hybrid electric vehicles.,Sci Rep. 2026 Jan 8. doi: 10.1038/s41598-025-34256-0. Online ahead of print.,2026 Jan 8,2026,1,
41507248,A block matrix incremental feature selection method based onfuzzyrough minimum classification error.,Sci Rep. 2026 Jan 8;16(1):3426. doi: 10.1038/s41598-025-33384-x.,2026 Jan 8;16(1):3426,2026,1,
41504212,"False categorical memories: effects of list composition, divided attention & pre-retrieval warnings.",Memory. 2026 Feb;34(2):221-237. doi: 10.1080/09658211.2025.2611101. Epub 2026 Jan 8.,2026 Feb;34(2):221-237,2026,1,
41501379,Explainable AI-enabled adaptivefuzzyMPPT and energy management for bifacial PV and battery-powered electric vehicle charging system.,Sci Rep. 2026 Jan 7. doi: 10.1038/s41598-025-34894-4. Online ahead of print.,2026 Jan 7,2026,1,
41501124,Evaluating blockchain-based waste management investments in smart cities using a multi-criteria decision support framework.,Sci Rep. 2026 Jan 7;16(1):3179. doi: 10.1038/s41598-025-33085-5.,2026 Jan 7;16(1):3179,2026,1,
41501107,Critical impact of automobile industry with advanced decision support system and Aczél-Alsina Hammy mean operators.,Sci Rep. 2026 Jan 8;16(1):897. doi: 10.1038/s41598-025-24344-6.,2026 Jan 8;16(1):897,2026,1,
41501104,An intelligent hybrid deep learning-machine learning model for monthly groundwater level prediction.,Sci Rep. 2026 Jan 7. doi: 10.1038/s41598-025-34292-w. Online ahead of print.,2026 Jan 7,2026,1,
41501071,Sustainability driven mechanism underlying crowdsourcing solvers' innovation behavior in the digital era evidence from SEM and fsQCA.,Sci Rep. 2026 Jan 7;16(1):666. doi: 10.1038/s41598-025-28036-z.,2026 Jan 7;16(1):666,2026,1,
41501057,Enhanced trajectory tracking and robustness in magnetic levitation via takagi-sugenofuzzycontrol: experimental approach.,Sci Rep. 2026 Jan 7;16(1):685. doi: 10.1038/s41598-025-25356-y.,2026 Jan 7;16(1):685,2026,1,
41500042,Automatic EEG-based dream-related emotion recognition usingfuzzyentropy and efficient signal decomposition methods.,Comput Biol Med. 2026 Feb 1;202:111425. doi: 10.1016/j.compbiomed.2025.111425. Epub 2026 Jan 6.,2026 Feb 1;202:111425,2026,1,
41497717,Enablers of students' health-promoting lifestyle: evidence from PLS-SEM and fsQCA.,Front Public Health. 2025 Dec 22;13:1667920. doi: 10.3389/fpubh.2025.1667920. eCollection 2025.,2025 Dec 22;13:1667920,2025,1,
41495851,Annotating and indexing scientific articles with rare diseases.,J Biomed Semantics. 2026 Jan 6. doi: 10.1186/s13326-025-00346-1. Online ahead of print.,2026 Jan 6,2026,1,
41495239,Design and evaluation of a home based upper limb rehabilitation training device for stroke patients.,Sci Rep. 2026 Jan 6;16(1):2579. doi: 10.1038/s41598-025-32496-8.,2026 Jan 6;16(1):2579,2026,1,
41495098,An investigation on Pythagoreanfuzzy[Formula: see text] fraction dense space using Pythagoreanfuzzyframes.,Sci Rep. 2026 Jan 6;16(1):1562. doi: 10.1038/s41598-025-29405-4.,2026 Jan 6;16(1):1562,2026,1,
41495020,Functional heterogeneity in non-suicidal self-injury across psychiatric disorders: neural and psychosocial correlates.,Transl Psychiatry. 2026 Jan 6. doi: 10.1038/s41398-025-03802-9. Online ahead of print.,2026 Jan 6,2026,1,
41491290,The m-polarfuzzyTOPSIS hybrid method for manufacturing decisions.,Sci Rep. 2026 Jan 5. doi: 10.1038/s41598-025-34591-2. Online ahead of print.,2026 Jan 5,2026,1,
41491216,Existence and uniqueness of solutions forfuzzyfractional integro-differential equations with boundary conditions.,Sci Rep. 2026 Jan 5;16(1):2082. doi: 10.1038/s41598-025-31808-2.,2026 Jan 5;16(1):2082,2026,1,
41490688,Enhanced distance protection for HVDC lines using adaptive neuro-fuzzyinference systems.,PLoS One. 2026 Jan 5;21(1):e0338629. doi: 10.1371/journal.pone.0338629. eCollection 2026.,2026 Jan 5;21(1):e0338629,2026,1,
41488945,Psychological mechanisms and configurational pathways of participation in personal transportation carbon trading: an environment-cognition-intention perspective.,Front Psychol. 2025 Dec 19;16:1677832. doi: 10.3389/fpsyg.2025.1677832. eCollection 2025.,2025 Dec 19;16:1677832,2025,1,
41488112,"Kinetics, thermodynamics, and active neuro-fuzzyinference system models for assessing oxidative stability and shelf life in fermented sausages.",Food Chem X. 2025 Dec 4;32:103323. doi: 10.1016/j.fochx.2025.103323. eCollection 2025 Dec.,2025 Dec 4;32:103323,2025,1,
41484445,A hybrid framework of hesitantfuzzysoft sets and rough sets for uncertainty modelling.,Sci Rep. 2026 Jan 2. doi: 10.1038/s41598-025-34368-7. Online ahead of print.,2026 Jan 2,2026,1,
41484427,Smart decision engine for performance optimization in enterprise management.,Sci Rep. 2026 Jan 2;16(1):3034. doi: 10.1038/s41598-025-32966-z.,2026 Jan 2;16(1):3034,2026,1,
41484252,Fuzzytime series for short-term residential load forecasting in smart grids.,Sci Rep. 2026 Jan 3. doi: 10.1038/s41598-025-34062-8. Online ahead of print.,2026 Jan 3,2026,1,
41484245,A sensor-fault resilient artificial pancreas using type-3fuzzylogicand predictive controls.,Sci Rep. 2026 Jan 2. doi: 10.1038/s41598-025-34383-8. Online ahead of print.,2026 Jan 2,2026,1,
41481758,FKG-MM: A multi-modalfuzzyknowledge graph with data integration in healthcare.,PLoS One. 2026 Jan 2;21(1):e0339864. doi: 10.1371/journal.pone.0339864. eCollection 2026.,2026 Jan 2;21(1):e0339864,2026,1,
41481150,Relationships between physical activity and depression in community-dwelling individuals with spinal cord injury: a study based on structural equation modeling andfuzzy-set qualitative comparative analysis.,Disabil Rehabil. 2026 Jan 2:1-10. doi: 10.1080/09638288.2025.2610471. Online ahead of print.,2026 Jan 2:1-10,2026,1,
41480367,Configurational paths to promoting physical activity among older adults with type 2 diabetes in China: an fsQCA study based on the multi-theory model.,Front Endocrinol (Lausanne). 2025 Dec 17;16:1673625. doi: 10.3389/fendo.2025.1673625. eCollection 2025.,2025 Dec 17;16:1673625,2025,1,
41479965,Negative learning behavior in small private online courses (SPOCs): findings from PLS-SEM and fsQCA.,Front Psychol. 2025 Dec 17;16:1634957. doi: 10.3389/fpsyg.2025.1634957. eCollection 2025.,2025 Dec 17;16:1634957,2025,1,
41477200,Herbaceous plant diversity mediates saline-alkaline soil improvement in the yellow river delta.,Front Microbiol. 2025 Dec 16;16:1734250. doi: 10.3389/fmicb.2025.1734250. eCollection 2025.,2025 Dec 16;16:1734250,2025,1,
41476098,Bipolar complex q-rung orthopairfuzzyaggregation operators for enhanced decision-making in uncertain environments.,Sci Rep. 2025 Dec 31;16(1):2865. doi: 10.1038/s41598-025-32730-3.,2025 Dec 31;16(1):2865,2025,1,
41475631,Integrating retrospective quality assessment with real-time guideline application to support the episodic application of clinical guidelines over significant time periods.,J Biomed Inform. 2026 Jan;173:104975. doi: 10.1016/j.jbi.2025.104975. Epub 2025 Dec 29.,2026 Jan;173:104975,2026,1,
